//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            3 21 42              0 3 0          255 128 0              5 0 0               0.95               0.95               0.25                200                100                  0            4000.00             100.00               0.95            30 20 0              3 3 3       85 85 65 240       248 87 87 87     248 60 121 122                  0                 90                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255            0 20 20            37 36 4          255 128 0          255 128 0              -0.05               0.95               0.15                150                100                  0            4000.00             100.00               0.95            35 9 10           27 30 36     53 104 104 240       248 80 80 80     248 60 190 190                  0                 90                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         90 205 255         192 106 19          255 128 0          255 128 0               8.35               0.95               0.25                140                 93                  0            4000.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       248 86 86 86       248 149 94 0                 25                120                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         90 205 255         90 200 255        255 255 255        255 255 255               2.15               0.95               0.25                100                 50                 75            4000.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240     248 133 106 70       248 96 61 15                 25                180                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        147 179 249         66 127 255        255 255 255        255 255 255               1.05               0.95              -0.05                236                  0                190            4000.00              10.00              -0.05           44 34 23        145 164 183     90 170 170 240       248 66 66 48     248 166 129 60                 25                180                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          34 58 168          209 153 0           222 88 0           122 55 0               3.85               0.95              -0.05                110                 40                 75            4000.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240    248 124 124 107       248 86 50 10                 25                180                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255            9 15 12             8 10 9          255 128 0          255 128 0               1.95               0.95               0.35                100                 60                  0            4000.00              10.00               0.95          120 40 40         72 107 159       67 67 67 240       248 81 85 40        248 66 27 0                 25                140                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255            3 21 42              0 0 0          255 128 0              5 8 0               0.95               0.95               0.25                160                100                  0            4000.00              10.00               0.95           70 27 10           15 11 34       67 67 62 240     248 209 143 84        248 76 51 0                 25                 90                  0               1.00
//
///////////////////////////////////////////SUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            2 15 30              1 1 0          255 128 0              5 0 0               0.95               0.35               0.35                200                100                  0            4000.00             100.00               0.95              0 0 0              3 3 3       85 85 65 240    248 110 126 210       248 0 81 104                 55                220                  0               1.00
// 5 AM
         128 128 128        255 255 255        255 255 255            6 42 84           19 39 37          255 128 0          255 128 0              -0.05               0.25               0.75                150                100                  0            4000.00             100.00               0.95              0 0 0           14 15 18       25 51 52 240    248 102 132 227        248 4 85 95                 90                220                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         89 183 255         200 144 85          255 128 0          255 128 0               1.15               0.45               0.15                140                 93                  0            4000.00             100.00               0.75          100 34 25          120 92 88     90 170 170 240       248 86 86 86       248 149 94 0                177                220                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         63 205 255         62 200 255          255 128 0          255 128 0               2.15               0.95              -0.05                211                  0                149            4000.00             100.00               0.45          120 40 40        159 142 106    145 170 170 240     248 58 110 115      248 123 70 14                177                220                  0               1.00
// Midday
         128 128 128        255 255 255        255 255 255        103 174 255         53 162 227          189 175 0          168 98 14               1.65               0.95              -0.05                236                  0                190            4000.00             100.00              -0.05           44 34 23        129 128 123     90 170 170 240     248 70 121 120      248 160 88 21                 88                220                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          15 79 155          183 125 9          198 128 0          255 128 0               7.45               0.95              -0.05                110                 40                 75            4000.00             100.00               0.75          120 40 40        155 155 155       50 97 97 240     248 90 123 113      248 114 61 10                 88                220                  0               1.00
// 8 PM
         128 128 128        255 255 255        255 255 255          15 74 153             8 11 9          255 128 0          255 128 0               1.95               0.95               0.15                100                 60                  0            4000.00              43.00               0.95              0 0 0          163 83 63       67 67 67 240      248 129 93 71        248 66 27 0                177                220                  0               1.00
// 10 PM
         128 128 128        255 255 255        255 255 255            2 15 30              0 0 0          255 128 0              5 8 0               0.95               0.35               0.35                160                100                  0            4000.00              41.00               0.95           70 27 10           55 55 55       67 67 62 240        248 129 0 0       248 66 106 0                111                 60                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
         128 128 128        255 255 255        255 255 255            1 13 29              0 0 0          255 128 0              5 0 0               0.95               0.25               0.85                200                102                  0            4000.00             100.00               0.95            30 20 0              3 3 3       85 85 65 240      248 50 61 114       248 14 46 55                 25                 80                  0               1.00
// 5 AM
         128 128 128        210 194 182        255 255 255            6 42 84           15 15 20          255 128 0          255 128 0              -0.05               0.25               0.85                150                100                  0             800.00              50.00               0.95            35 9 10           27 30 36     53 104 104 240      248 93 90 114       248 34 40 30                 25                 80                  0               1.00
// 6 AM
         128 128 128        255 255 255        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               8.35               0.15               0.35                140                 93                  0            4000.00              50.00               0.75          100 34 25          120 92 88     90 170 170 240       248 86 86 86       248 149 94 0                 25                120                  0               1.00
// 7 AM
         128 128 128        255 255 255        255 255 255         90 205 255        114 148 166          255 128 0          255 128 0               1.15               0.15               0.75                100                 50                 75            4000.00              10.00               0.45          120 40 40        159 142 106    145 170 170 240     248 106 107 84       248 96 61 15                 25                120                  0               1.00
// Midday
         255 254 254        255 254 254        255 255 255        111 160 251         63 102 187          255 128 0          255 128 0               0.95               0.15               0.25                236                  0                190            4000.00              10.00              -0.05           44 34 23        145 164 183     90 170 170 240       248 82 80 43      248 125 94 40                 25                 50                  0               1.00
// 7 PM
         128 128 128        255 255 255        255 255 255          12 58 109            90 57 1          198 128 0          255 128 0               7.45               0.25               0.95                110                 40                103            4000.00              10.00               0.75          120 40 40         200 123 96       50 97 97 240      248 124 93 67       248 86 50 10                 25                150                  0               1.00
// 8 PM
